"H","2025/11/05"
"［データ区分］","［伝票日付］","［伝票No］","［取引状態］","［自社コード］","［自社会員名］","［自社担当者］","［取引先コード］","［取引先名］","［納品場所コード］","［納品場所名］","［納品場所 住所］","［マイカタログID］","［自社管理商品コード］","［商品名］","［規格］","［入数］","［入数単位］","［単価］","［数量］","［単位］","［金額］","［消費税］","［小計］","［課税区分］","［税区分］","［合計 商品本体］","［合計 商品消費税］","［合計 送料本体］","［合計 送料消費税］","［合計 その他］","［総合計］","［発注日］","［発送日］","［納品日］","［受領日］","［取引ID_SYSTEM］","［伝票明細ID_SYSTEM］","［発注送信日］","［発注送信時間］","［送信日］","［送信時間］"
"D","2025/10/02","494189","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596983","","バラシャンピ","","0.00","箱","1200.00","4.00","C/S","4800","384","5184","","外税","","","","","","","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696763144","3","2025/10/01","02:40","2025/10/03","14:44"
"D","2025/10/02","494190","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66753360","","洋梨","","0.00","個","300.00","3.00","個","900","72","972","","外税","900","72","0","0","0","972","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1696763303","1","2025/10/01","02:43","2025/10/03","14:44"
"D","2025/10/02","494365","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66177757","","ナフキン","","0.00","未指定","35.00","9.00","枚","315","0","315","","外税","450","0","0","0","0","450","","2025/10/02","2025/10/02","2025/10/02","1697133277","1","","","2025/10/03","14:44"
"D","2025/10/02","494365","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66106839","","Ｙシャツ","","0.00","枚","135.00","1.00","枚","135","0","135","","外税","","","","","","","","2025/10/02","2025/10/02","2025/10/02","1697133277","2","","","2025/10/03","14:44"
"D","2025/10/02","494410","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56863229","","地蛤　50ｇ","","0.00","未指定","2400.00","1.04","kg","2496","0","2496","","外税","2496","0","0","0","0","2496","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1697205871","1","2025/10/01","22:48","2025/10/03","14:44"
"D","2025/10/02","494411","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64596755","","じゃがいも","","0.00","kg","350.00","3.14","kg","1099","87","1186","","外税","1099","87","0","0","0","1186","2025/10/01","2025/10/01","2025/10/02","2025/10/02","1697206830","1","2025/10/01","22:49","2025/10/03","14:44"
"D","2025/10/02","494414","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","155474439","","レモデナ　ザクロ　バルサミコ","250ｍｌ","1.00","本","1900.00","1.00","本","1900","0","1900","","外税","4500","0","0","0","0","4500","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1697209574","1","2025/10/01","22:53","2025/10/03","14:44"
"D","2025/10/02","494414","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","94851603","","バルサミコクリーム（モンテ）","250ml","0.00","本","980.00","1.00","本","980","0","980","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1697209574","2","2025/10/01","22:53","2025/10/03","14:44"
"D","2025/10/02","494414","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","129665955","","トマトコーポ　レモン果汁100％濃縮還元（伊）","1L","0.00","本","520.00","1.00","本","520","0","520","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1697209574","3","2025/10/01","22:53","2025/10/03","14:44"
"D","2025/10/02","494414","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","133201663","","シークラムジュース","1.36L","0.00","缶","1100.00","1.00","缶","1100","0","1100","","外税","","","","","","","2025/10/01","2025/10/02","2025/10/02","2025/10/02","1697209574","4","2025/10/01","22:53","2025/10/03","14:44"
"D","2025/10/03","494566","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社武蔵屋","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","207427835","","ラ・グランダム 2015 ヴーヴ・クリコ・ポンサルダン","750ml","1.00","本","12220.00","2.00","本","24440","2444","26884","","外税","24440","2444","0","0","0","26884","","2025/10/03","2025/10/03","2025/10/03","1697404870","1","","","2025/10/04","13:28"
"D","2025/10/03","494571","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150488","","パーチバター（無塩）よつ葉","４５０ｇ","30.00","C/S","918.00","1.00","個","918","0","918","","外税","2674","0","0","0","0","2674","2025/10/02","2025/10/02","2025/10/03","2025/10/03","1697437789","1","2025/10/02","12:52","2025/10/04","13:28"
"D","2025/10/03","494571","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56150519","","北海道フレッシュクリーム３８％　１Ｌ","１Ｌ","1.00","本","1166.00","1.00","本","1166","0","1166","","外税","","","","","","","2025/10/02","2025/10/02","2025/10/03","2025/10/03","1697437789","2","2025/10/02","12:52","2025/10/04","13:28"
"D","2025/10/03","494571","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社東京めいらく","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","67893516","","Ｆ）スポンジケーキ６号","","12.00","C/S","590.00","1.00","箱","590","0","590","","外税","","","","","","","2025/10/02","2025/10/02","2025/10/03","2025/10/03","1697437789","3","2025/10/02","12:52","2025/10/04","13:28"
"D","2025/10/03","494715","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55950645","","ウィルキンソン タンサン　ペット 500ML","500ＭＬ × 1本","24.00","本","134.00","6.00","本","804","0","804","","外税","804","0","0","0","0","804","2025/10/02","2025/10/03","2025/10/03","2025/10/03","1697701869","1","2025/10/02","21:36","2025/10/04","13:28"
"D","2025/10/03","494902","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64672280","","モンサンミッシェル　ムール貝","不定貫　１ｋｇ","0.00","kg","3700.00","2.00","PC","7400","0","7400","","外税","7400","0","0","0","0","7400","","2025/10/03","2025/10/03","2025/10/03","1698066701","1","","","2025/10/04","13:28"
"D","2025/10/03","494904","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","188198443","","日清製粉　ロレンス","10ｋｇ","1.00","袋","4850.00","1.00","袋","4850","0","4850","","外税","4850","0","0","0","0","4850","","2025/10/03","2025/10/03","2025/10/03","1698067088","1","","","2025/10/04","13:28"
"D","2025/10/03","494905","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","199985437","","オイシイパン粉 5ﾒ","400g","1.00","PC","230.00","1.00","PC","230","0","230","","外税","3372","0","0","0","0","3372","","2025/10/03","2025/10/03","2025/10/03","1698067437","1","","","2025/10/04","13:28"
"D","2025/10/03","494905","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","128656927","","タレッジョチーズ","約500ｇ不定貫","0.00","g","5.30","593.00","g","3142","0","3142","","外税","","","","","","","","2025/10/03","2025/10/03","2025/10/03","1698067437","2","","","2025/10/04","13:28"
"D","2025/10/03","497209","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社ＴＡＴＳＵＭＩ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","208840618","","ドミニク ローラン  ブルゴーニュ コートドール Ｎｏ１【＇２１】","750ml","1.00","本","3000.00","3.00","本","9000","0","9000","","外税","9000","0","0","0","0","9000","","2025/10/03","2025/10/03","2025/10/03","1702568132","1","","","2025/10/14","16:41"
"D","2025/10/04","494918","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55950163","","活〆鯛　２ｋ","","0.00","本","1600.00","2.00","kg","3200","0","3200","","外税","16500","0","0","0","0","16500","2025/10/03","2025/10/04","2025/10/04","2025/10/04","1698105410","1","2025/10/03","17:11","2025/10/07","13:35"
"D","2025/10/04","494918","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","56863232","","オススメ鮮魚情報","ヒラメ","0.00","未指定","3500.00","3.80","kg","13300","0","13300","","外税","","","","","","","2025/10/03","2025/10/04","2025/10/04","2025/10/04","1698105410","2","2025/10/03","17:11","2025/10/07","13:35"
"D","2025/10/04","494942","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","170162376","","アクアパンナ瓶　750ML","７５０ML","12.00","本","370.00","3.00","本","1110","0","1110","","外税","2220","0","0","0","0","2220","2025/10/03","2025/10/04","2025/10/04","2025/10/04","1698143346","1","2025/10/03","18:49","2025/10/07","13:35"
"D","2025/10/04","494942","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社カクヤス","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","65367630","","サンヘﾟレクﾞリノ  瓶  750（新）　750ML","750ML×12","1.00","本","370.00","3.00","本","1110","0","1110","","外税","","","","","","","2025/10/03","2025/10/04","2025/10/04","2025/10/04","1698143346","2","2025/10/03","18:49","2025/10/07","13:35"
"D","2025/10/04","495377","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社丸昌","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","55950163","","活〆鯛　２ｋ","","0.00","本","1600.00","-2.00","kg","-3200","0","-3200","","外税","-3200","0","0","0","0","-3200","","2025/10/06","2025/10/04","2025/10/04","1699031977","1","","","2025/10/07","13:35"
"D","2025/10/06","495156","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66177757","","ナフキン","","0.00","未指定","35.00","14.00","枚","490","0","490","","外税","760","0","0","0","0","760","","2025/10/06","2025/10/06","2025/10/06","1698482720","1","","","2025/10/07","13:35"
"D","2025/10/06","495156","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社穂高リネンサプライ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","66106839","","Ｙシャツ","","0.00","枚","135.00","2.00","枚","270","0","270","","外税","","","","","","","","2025/10/06","2025/10/06","2025/10/06","1698482720","2","","","2025/10/07","13:35"
"D","2025/10/07","495435","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社武蔵屋","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","203967329","","セントタマーシュ アスー 白 セントタマーシュ・ヴィンヤーズ","500ml","1.00","本","9850.00","2.00","本","19700","1970","21670","","外税","19700","1970","0","0","0","21670","","2025/10/07","2025/10/07","2025/10/07","1699253407","1","","","2025/10/07","13:35"
"D","2025/10/07","500714","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","板川　与志人","","株式会社愛宕小西","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","208729330","","ヘス　パンテラ　シャルドネ　２３","","0.00","未指定","4800.00","3.00","本","14400","0","14400","","外税","14400","0","0","0","0","14400","","2025/10/07","2025/10/07","2025/10/07","1709856801","1","","","2025/10/31","11:38"
"D","2025/10/09","495916","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","207531736","","カッテージチーズ","","1.00","PC","350.00","1.00","PC","350","0","350","","外税","2510","0","0","0","0","2510","2025/10/08","2025/10/09","2025/10/09","2025/10/09","1700170408","1","2025/10/08","17:23","2025/10/09","18:39"
"D","2025/10/09","495916","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","92947319","","クラフト　フィラデルフィア　クリームチーズ","200ｇ","0.00","ヶ","480.00","1.00","ヶ","480","0","480","","外税","","","","","","","2025/10/08","2025/10/09","2025/10/09","2025/10/09","1700170408","2","2025/10/08","17:23","2025/10/09","18:39"
"D","2025/10/09","495916","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","有限会社ミナト商会","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","77237778","","KULクリブランコ白ワイン","3L","1.00","箱","1680.00","1.00","箱","1680","0","1680","","外税","","","","","","","2025/10/08","2025/10/09","2025/10/09","2025/10/09","1700170408","3","2025/10/08","17:23","2025/10/09","18:39"
"D","2025/10/09","495918","受領","1000020","ｃａｖａｃａｖａ（株式会社ワルツ）","細川大地","","株式会社ｅｆｆ","","-既定納品場所-","東京都新宿区荒木町9-7ナオビル1階","64597032","","マイクロリーフ","","0.00","PC","280.00","1.00","PC","280","22","302","","外税","1240","98","0","0","0","1338","2025/10/08","2025/10/08","2025/10/09","2025/10/09","1700173695","1","2025/10/08","17:30","2025/10/09","18:39"
